ß	622	0	676	54
q	81	56	136	108
w	138	56	192	108
e	194	56	249	108
r	251	56	305	108
t	307	56	362	108
z	364	56	418	108
u	421	56	475	108
i	477	56	531	108
o	534	56	588	108
p	590	56	643	108
ü	647	56	701	108
a	100	113	154	168
s	157	113	211	168
d	213	113	268	168
f	270	113	324	168
g	326	113	381	168
h	383	113	437	168
j	439	113	494	168
k	496	113	550	168
l	553	113	607	168
ö	609	113	663	168
ä	666	113	720	168
y	128	170	183	224
x	185	170	239	224
c	242	170	296	224
v	298	170	352	224
b	355	170	409	224
n	411	170	465	224
m	468	170	522	224